"Call Tree - Method";"Time [%]";"Time";"Invocations";
"            Utils.SubClassFinder$2.<init>()";"1.4984237E-4";"8";"1"
"           Self time";"0.06815954";"3639";"1"
"           Utils.SubClassFinder.getErrors()";"5.05718E-4";"27";"1"
"          Sistema.Tipos.Admin_Ambulancias.<init>(Sistema.Tipos.Punto)";"0.6609172";"35286";"1"
"           Utils.Tipo_Utils.subclases_ambulancia()";"0.58254963";"31102";"1"
"            Utils.SubClassFinder.<init>()";"0.43167713";"23047";"1"
"             Utils.SubClassFinder.refreshLocations()";"0.4315273";"23039";"1"
"              Utils.SubClassFinder.getClasspathLocations()";"0.43147108";"23036";"1"
"               Utils.SubClassFinder.include(String, java.io.File, java.util.Map)";"0.42972916";"22943";"1"
"                Utils.SubClassFinder.include(String, java.io.File, java.util.Map)";"0.3888222";"20759";"6"
"                 Utils.SubClassFinder.include(String, java.io.File, java.util.Map)";"0.26544574";"14172";"2"
"                  Utils.SubClassFinder$1.accept(java.io.File)";"0.18932582";"10108";"94"
"                  Self time";"0.05019719";"2680";"2"
"                  Utils.SubClassFinder.include(String, java.io.File, java.util.Map)";"0.023937318";"1278";"1"
"                   Utils.SubClassFinder$1.accept(java.io.File)";"0.014422327";"770";"7"
"                   Self time";"0.00951499";"508";"1"
"                  Utils.SubClassFinder$2.compare(Object, Object)";"0.0019479508";"104";"4"
"                   Utils.SubClassFinder$2.compare(java.net.URL, java.net.URL)";"0.0017044569";"91";"4"
"                   Self time";"2.2476354E-4";"12";"4"
"                 Utils.SubClassFinder$1.accept(java.io.File)";"0.06304617";"3366";"31"
"                 Self time";"0.057857882";"3089";"6"
"                 Utils.SubClassFinder$2.compare(Object, Object)";"0.0024536687";"131";"5"
"                  Utils.SubClassFinder$2.compare(java.net.URL, java.net.URL)";"0.0021727143";"116";"5"
"                  Self time";"2.6222414E-4";"14";"5"
"                Self time";"0.022570007";"1205";"1"
"                Utils.SubClassFinder$1.accept(java.io.File)";"0.0113130985";"604";"6"
"                Utils.SubClassFinder$2.compare(Object, Object)";"0.0070051304";"374";"14"
"                 Utils.SubClassFinder$2.compare(java.net.URL, java.net.URL)";"0.0061809975";"330";"14"
"                 Self time";"8.054027E-4";"43";"14"
"               Self time";"0.0017419175";"93";"1"
"              Self time";"5.6190886E-5";"3";"1"
"             Self time";"1.3111207E-4";"7";"1"
"            Utils.SubClassFinder.findSubclasses(String)";"0.15016077";"8017";"1"
"             Utils.SubClassFinder.findSubclasses(Class, java.util.Map)";"0.14946777";"7980";"1"
"              Utils.SubClassFinder.findSubclasses(java.net.URL, String, Class)";"0.13506417";"7211";"9"
"               Self time";"0.13173017";"7033";"9"
"               Utils.SubClassFinder$3.compare(Object, Object)";"0.0033152623";"177";"11"
"                Utils.SubClassFinder$3.compare(Class, Class)";"0.0027158929";"145";"11"
"                Self time";"5.9936946E-4";"32";"11"
"              Utils.SubClassFinder$2.compare(Object, Object)";"0.011743896";"627";"25"
"               Utils.SubClassFinder$2.compare(java.net.URL, java.net.URL)";"0.010451505";"558";"25"
"               Self time";"0.0012736601";"68";"25"
"              Self time";"0.0026409717";"141";"1"
"             Self time";"6.9302093E-4";"37";"1"
"            Self time";"5.431786E-4";"29";"1"
"            Utils.SubClassFinder.getErrors()";"1.3111207E-4";"7";"1"
"           Utils.System_Log.<init>(String)";"0.06995765";"3735";"1"
"            Self time";"0.06791605";"3626";"1"
"            Utils.System_Log.crear_directorio(String)";"0.002022872";"108";"1"
"           Self time";"0.008372442";"447";"1"
"           Interfaz.Interface_Keeper.get_Interfaz()";"1.8730296E-5";"1";"1"
"          Self time";"0.0832187";"4443";"1"
"          Utils.System_Log.<init>(String)";"0.07628849";"4073";"1"
"           Self time";"0.07117512";"3800";"1"
